"","make","model","Price","city08","highway08","cylinders","displ","drive","fuelCost08","fuelType1","ecoFriendly","ghgScore"
"29818","Porsche","Boxster",60265,21,28,4,2,"Rear-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29819","Porsche","Boxster",17896,22,29,4,2,"Rear-Wheel Drive",1900,"Premium Gasoline","Kinda Green",5
"29820","Porsche","Boxster",62926,22,29,4,2,"Rear-Wheel Drive",1900,"Premium Gasoline","Kinda Green",5
"29821","Porsche","Boxster S",27226,20,26,4,2.5,"Rear-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29822","Porsche","Boxster S",54808,20,26,4,2.5,"Rear-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29823","Porsche","Boxster S",47314,21,28,4,2.5,"Rear-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29824","Porsche","Boxster S",45143,21,28,4,2.5,"Rear-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29825","Ford","Mustang",30526,21,30,4,2.3,"Rear-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29826","Ford","Mustang",44685,21,30,4,2.3,"Rear-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29827","Ford","Mustang",53189,21,30,4,2.3,"Rear-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29828","Ford","Mustang",15960,21,30,4,2.3,"Rear-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29829","Ford","Mustang Convertible",34282,20,28,4,2.3,"Rear-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29830","Ford","Mustang Convertible",45820,20,28,4,2.3,"Rear-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29831","Ford","Mustang",56751,18,27,6,3.7,"Rear-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29832","Ford","Mustang",17796,18,27,6,3.7,"Rear-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29833","Ford","Mustang",24404,18,27,6,3.7,"Rear-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29834","Ford","Mustang",57495,18,27,6,3.7,"Rear-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29835","Ford","Mustang",55324,15,25,8,5,"Rear-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29836","Ford","Mustang",43231,15,25,8,5,"Rear-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29837","Ford","Mustang Convertible",43877,15,23,8,5,"Rear-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29838","Ford","Mustang Convertible",48560,15,23,8,5,"Rear-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29839","Ford","Mustang",63862,15,24,8,5,"Rear-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29840","Ford","Mustang",58761,15,24,8,5,"Rear-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29841","Ford","Mustang Performance Package",54492,21,28,4,2.3,"Rear-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29842","Ford","Mustang Performance Package",63315,21,28,4,2.3,"Rear-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29843","Ford","Mustang Performance Package",35798,20,28,4,2.3,"Rear-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29844","Ford","Mustang Performance Package",28432,20,28,4,2.3,"Rear-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29845","Ford","Mustang Performance Package",28404,14,23,8,5,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29846","Ford","Mustang Performance Package",31746,14,23,8,5,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29847","Ford","Mustang Convertible",61684,21,27,4,2.3,"Rear-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29848","Ford","Mustang Convertible",51638,21,27,4,2.3,"Rear-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29849","Ford","Mustang Convertible",67276,14,23,8,5,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29850","Ford","Mustang Convertible",33143,14,23,8,5,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29851","Volvo","S60 AWD",45800,22,32,4,2,"All-Wheel Drive",1850,"Premium Gasoline","Kinda Green",6
"29852","Volvo","S60 AWD",56043,22,32,4,2,"All-Wheel Drive",1850,"Premium Gasoline","Kinda Green",6
"29853","Mercedes-Benz","E300",54257,22,30,4,2,"Rear-Wheel Drive",1900,"Premium Gasoline","Kinda Green",5
"29854","Mercedes-Benz","E300",33817,22,30,4,2,"Rear-Wheel Drive",1900,"Premium Gasoline","Kinda Green",5
"29855","Mercedes-Benz","E300 4matic",38314,22,29,4,2,"4-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29856","Mercedes-Benz","E300 4matic",42649,22,29,4,2,"4-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"29857","Cadillac","XTS AWD",23174,17,26,6,3.6,"All-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29858","Cadillac","XTS AWD",43679,17,26,6,3.6,"All-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29859","Cadillac","XTS Limo",62183,15,21,6,3.6,"Front-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29860","Cadillac","XTS Limo",27581,15,21,6,3.6,"Front-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29861","Acura","MDX FWD",35849,20,27,6,3.5,"Front-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29862","Acura","MDX FWD",46639,20,27,6,3.5,"Front-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29863","Acura","MDX FWD",69987,19,27,6,3.5,"Front-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29864","Acura","MDX FWD",38163,19,27,6,3.5,"Front-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29865","Acura","MDX AWD",57421,19,26,6,3.5,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29866","Acura","MDX AWD",29685,19,26,6,3.5,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29867","Acura","MDX AWD",67996,18,26,6,3.5,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29868","Acura","MDX AWD",28740,18,26,6,3.5,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29869","Ford","Explorer FWD",18079,19,27,4,2.3,"Front-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29870","Ford","Explorer FWD",17908,19,27,4,2.3,"Front-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29871","Ford","Explorer FWD",44145,17,24,6,3.5,"Front-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29872","Ford","Explorer FWD",34472,17,24,6,3.5,"Front-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29873","Ford","Explorer 2WD FFV",68474,17,24,6,3.5,"Front-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29874","Ford","Explorer AWD",37650,18,25,4,2.3,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29875","Ford","Explorer AWD",21411,16,23,6,3.5,"All-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29876","Ford","Explorer AWD",58543,16,23,6,3.5,"All-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29877","Ford","Explorer AWD FFV",55084,16,23,6,3.5,"All-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29878","Ford","Explorer AWD",38954,16,22,6,3.5,"All-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29879","Ford","Explorer AWD",34347,16,22,6,3.5,"All-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29880","Porsche","Cayenne Turbo",34798,14,21,8,4.8,"All-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29881","Porsche","Cayenne Turbo",37510,14,21,8,4.8,"All-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29882","Porsche","Cayenne Turbo S",56106,14,21,8,4.8,"All-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29883","Porsche","Cayenne Turbo S",31120,14,21,8,4.8,"All-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29884","Ferrari","488 GTB",47708,15,22,8,3.9,"Rear-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29885","Ferrari","488 GTB",55060,15,22,8,3.9,"Rear-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29886","Ferrari","F12 tdf",19398,11,15,12,6.3,"Rear-Wheel Drive",4000,"Premium Gasoline","It's a monster!",1
"29887","Ferrari","F12 tdf",64823,11,15,12,6.3,"Rear-Wheel Drive",4000,"Premium Gasoline","It's a monster!",1
"29888","Mercedes-Benz","SL550",28083,17,25,8,4.7,"Rear-Wheel Drive",2400,"Premium Gasoline","It's a monster!",4
"29889","Mercedes-Benz","SL550",32833,17,25,8,4.7,"Rear-Wheel Drive",2400,"Premium Gasoline","It's a monster!",4
"29890","Mercedes-Benz","SL450",51440,20,28,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","It's a monster!",5
"29891","Mercedes-Benz","SL450",63733,20,28,6,3,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29892","Mercedes-Benz","AMG SL63",54700,16,25,8,5.5,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29893","Mercedes-Benz","AMG SL63",43280,16,25,8,5.5,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29894","Subaru","BRZ",55651,21,29,4,2,"Rear-Wheel Drive",2000,"Premium Gasoline","It's a monster!",5
"29895","Subaru","BRZ",63849,21,29,4,2,"Rear-Wheel Drive",2000,"Premium Gasoline","It's a monster!",5
"29896","Subaru","BRZ",30068,24,33,4,2,"Rear-Wheel Drive",1750,"Premium Gasoline","It's a monster!",6
"29897","Subaru","BRZ",48254,24,33,4,2,"Rear-Wheel Drive",1750,"Premium Gasoline","It's a monster!",6
"29898","Chevrolet","Camaro",26371,19,28,6,3.6,"Rear-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29899","Chevrolet","Camaro",55460,19,28,6,3.6,"Rear-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29900","Chevrolet","Camaro",56498,16,25,8,6.2,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29901","Chevrolet","Camaro",57544,16,25,8,6.2,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29902","Chevrolet","Camaro",30647,20,30,4,2,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29903","Chevrolet","Camaro",23361,20,30,4,2,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29904","Chevrolet","Camaro",63623,22,31,4,2,"Rear-Wheel Drive",1900,"Premium Gasoline","Kinda Green",5
"29905","Chevrolet","Camaro",44626,22,31,4,2,"Rear-Wheel Drive",1900,"Premium Gasoline","Kinda Green",5
"29906","Chevrolet","Camaro",58536,16,28,6,3.6,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29907","Chevrolet","Camaro",63478,16,28,6,3.6,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29908","Chevrolet","Camaro",57961,17,27,8,6.2,"Rear-Wheel Drive",2400,"Premium Gasoline","It's a monster!",4
"29909","Chevrolet","Camaro",53995,17,27,8,6.2,"Rear-Wheel Drive",2400,"Premium Gasoline","It's a monster!",4
"29910","Mercedes-Benz","AMG S63 4matic Convertible",48563,14,22,8,5.5,"4-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29911","Mercedes-Benz","AMG S63 4matic Convertible",28770,14,22,8,5.5,"4-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29912","Cadillac","ATS",52002,20,29,4,2,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29913","Cadillac","ATS",41557,20,29,4,2,"Rear-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"29914","Lexus","CT 200h",42299,43,40,4,1.8,"Front-Wheel Drive",950,"Regular Gasoline","Nature Lover",9
"29915","Lexus","CT 200h",66165,43,40,4,1.8,"Front-Wheel Drive",950,"Regular Gasoline","Nature Lover",9
"29916","Ford","Fusion AWD",35820,17,26,6,2.7,"All-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29917","Ford","Fusion AWD",23681,17,26,6,2.7,"All-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29918","Honda","Accord",46252,18,28,6,3.5,"Front-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29919","Honda","Accord",15625,18,28,6,3.5,"Front-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29920","Honda","Accord",15150,21,33,6,3.5,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29921","Honda","Accord",26391,21,33,6,3.5,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29922","Honda","Accord",36114,21,33,6,3.5,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29923","Honda","Accord",64659,21,33,6,3.5,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29924","Honda","Accord",19460,21,32,6,3.5,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29925","Honda","Accord",34759,21,32,6,3.5,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29926","Honda","Accord",51224,23,32,4,2.4,"Front-Wheel Drive",1550,"Regular Gasoline","Kinda Green",6
"29927","Honda","Accord",16237,23,32,4,2.4,"Front-Wheel Drive",1550,"Regular Gasoline","Kinda Green",6
"29928","Honda","Accord",54941,27,36,4,2.4,"Front-Wheel Drive",1350,"Regular Gasoline","Kinda Green",7
"29929","Honda","Accord",23939,27,36,4,2.4,"Front-Wheel Drive",1350,"Regular Gasoline","Kinda Green",7
"29930","Honda","Accord",39144,27,36,4,2.4,"Front-Wheel Drive",1350,"Regular Gasoline","Kinda Green",7
"29931","Honda","Accord",33689,27,36,4,2.4,"Front-Wheel Drive",1350,"Regular Gasoline","Kinda Green",7
"29932","Honda","Accord",63342,26,34,4,2.4,"Front-Wheel Drive",1400,"Regular Gasoline","Kinda Green",7
"29933","Honda","Accord",33660,26,34,4,2.4,"Front-Wheel Drive",1400,"Regular Gasoline","Kinda Green",7
"29934","Honda","Accord",45197,26,34,4,2.4,"Front-Wheel Drive",1400,"Regular Gasoline","Kinda Green",7
"29935","Honda","Accord",23676,26,34,4,2.4,"Front-Wheel Drive",1400,"Regular Gasoline","Kinda Green",7
"29936","Lincoln","MKZ AWD",20528,17,26,6,3,"All-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29937","Lincoln","MKZ AWD",45736,17,26,6,3,"All-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29938","Lincoln","MKZ FWD",58568,18,27,6,3,"Front-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29939","Lincoln","MKZ FWD",18140,18,27,6,3,"Front-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29940","Maserati","Ghibli V6 SQ4 AWD",64017,16,24,6,3,"All-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29941","Maserati","Ghibli V6",46267,17,24,6,3,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29942","Maserati","Ghibli S RWD",54487,16,24,6,3,"Rear-Wheel Drive",2500,"Premium Gasoline","It's a monster!",4
"29943","BMW","535i Gran Turismo",40328,19,27,6,3,"Rear-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29944","BMW","535i Gran Turismo",62498,19,27,6,3,"Rear-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"29945","BMW","535i xDrive Gran Turismo",32859,18,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29946","BMW","535i xDrive Gran Turismo",21677,18,26,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29947","Maserati","Quattroporte GTS",65934,15,22,8,3.8,"Rear-Wheel Drive",2800,"Premium Gasoline","It's a monster!",3
"29948","Maserati","Quattroporte SQ4 V6",29286,16,23,6,3,"All-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29949","Maserati","Quattroporte S",25436,16,23,6,3,"Rear-Wheel Drive",2650,"Premium Gasoline","It's a monster!",3
"29950","Honda","Fit",62225,33,40,4,1.5,"Front-Wheel Drive",1100,"Regular Gasoline","Green Car",8
"29951","Honda","Fit",41824,33,40,4,1.5,"Front-Wheel Drive",1100,"Regular Gasoline","Green Car",8
"29952","Honda","Fit",44309,32,37,4,1.5,"Front-Wheel Drive",1200,"Regular Gasoline","Green Car",8
"29953","Honda","Fit",48251,32,37,4,1.5,"Front-Wheel Drive",1200,"Regular Gasoline","Green Car",8
"29954","Honda","Fit",60286,29,36,4,1.5,"Front-Wheel Drive",1250,"Regular Gasoline","Kinda Green",7
"29955","Honda","Fit",64165,29,36,4,1.5,"Front-Wheel Drive",1250,"Regular Gasoline","Kinda Green",7
"29956","Chevrolet","Silverado 15 Hybrid 2WD",23715,18,24,8,5.3,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29957","Chevrolet","Silverado 15 Hybrid 2WD",45578,18,24,8,5.3,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29958","Chevrolet","Silverado C15 2WD",19136,15,21,8,6.2,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29959","Chevrolet","Silverado C15 2WD",25867,15,21,8,6.2,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29960","Chevrolet","Silverado C15 2WD",42211,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29961","Chevrolet","Silverado C15 2WD",23391,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29962","Chevrolet","Silverado C15 2WD",58733,18,24,6,4.3,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29963","Chevrolet","Silverado C15 2WD",51809,18,24,6,4.3,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29964","GMC","Sierra 15 Hybrid 2WD",42275,18,24,8,5.3,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29965","GMC","Sierra 15 Hybrid 2WD",57721,18,24,8,5.3,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29966","GMC","Sierra C15 2WD",52363,15,21,8,6.2,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29967","GMC","Sierra C15 2WD",39653,15,21,8,6.2,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29968","GMC","Sierra C15 2WD",63692,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29969","GMC","Sierra C15 2WD",37326,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29970","GMC","Sierra C15 2WD",52038,18,24,6,4.3,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29971","GMC","Sierra C15 2WD",50938,18,24,6,4.3,"Rear-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29972","GMC","Sierra C15 2WD",44080,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29973","GMC","Sierra C15 2WD",52973,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29974","Chevrolet","Silverado 15 Hybrid 4WD",28710,16,21,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29975","Chevrolet","Silverado 15 Hybrid 4WD",24503,16,21,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29976","Chevrolet","Silverado K15 4WD",40409,15,20,8,6.2,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29977","Chevrolet","Silverado K15 4WD",52775,15,20,8,6.2,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29978","Chevrolet","Silverado K15 4WD",50609,15,20,8,5.3,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29979","Chevrolet","Silverado K15 4WD",58826,15,20,8,5.3,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29980","Chevrolet","Silverado K15 4WD",24231,16,22,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29981","Chevrolet","Silverado K15 4WD",48045,16,22,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29982","Chevrolet","Silverado K15 4WD",60965,16,22,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29983","Chevrolet","Silverado K15 4WD",48956,16,22,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29984","Chevrolet","Silverado K15 4WD",19288,17,22,6,4.3,"4-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29985","Chevrolet","Silverado K15 4WD",23696,17,22,6,4.3,"4-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29986","GMC","Sierra 15 Hybrid 4WD",31496,16,21,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29987","GMC","Sierra 15 Hybrid 4WD",32103,16,21,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29988","GMC","Sierra K15 4WD",58269,15,20,8,6.2,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29989","GMC","Sierra K15 4WD",44697,15,20,8,6.2,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29990","GMC","Sierra K15 4WD",16142,15,20,8,5.3,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29991","GMC","Sierra K15 4WD",66914,15,20,8,5.3,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"29992","GMC","Sierra K15 4WD",58987,16,22,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29993","GMC","Sierra K15 4WD",60635,16,22,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29994","GMC","Sierra K15 4WD",26344,16,22,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29995","GMC","Sierra K15 4WD",29608,16,22,8,5.3,"4-Wheel Drive",2250,"Regular Gasoline","It's a monster!",3
"29996","GMC","Sierra K15 4WD",47704,17,22,6,4.3,"4-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29997","GMC","Sierra K15 4WD",68713,17,22,6,4.3,"4-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29998","Chevrolet","Express 2500 2WD Passenger",63282,11,16,8,6,"Rear-Wheel Drive",3100,"Regular Gasoline","It's a monster!",1
"29999","Chevrolet","Express 2500 2WD Passenger",66144,11,16,8,6,"Rear-Wheel Drive",3100,"Regular Gasoline","It's a monster!",1
"30000","Chevrolet","Express 3500 2WD Passenger",28498,11,16,8,6,"Rear-Wheel Drive",3350,"Regular Gasoline","It's a monster!",1
"30001","Chevrolet","Express 3500 2WD Passenger",25929,11,16,8,6,"Rear-Wheel Drive",3350,"Regular Gasoline","It's a monster!",1
"30002","GMC","Savana 2500 2WD (Passenger)",20493,11,16,8,6,"Rear-Wheel Drive",3100,"Regular Gasoline","It's a monster!",1
"30003","GMC","Savana 2500 2WD (Passenger)",38859,11,16,8,6,"Rear-Wheel Drive",3100,"Regular Gasoline","It's a monster!",1
"30004","GMC","Savana 3500 2WD (Passenger)",38567,11,16,8,6,"Rear-Wheel Drive",3350,"Regular Gasoline","It's a monster!",1
"30005","GMC","Savana 3500 2WD (Passenger)",16537,11,16,8,6,"Rear-Wheel Drive",3350,"Regular Gasoline","It's a monster!",1
"30006","Chevrolet","Silverado K15 Cab Chassis 4WD",61447,15,19,8,5.3,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30007","Chevrolet","Silverado K15 Cab Chassis 4WD",67126,15,19,8,5.3,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30008","Chevrolet","Silverado C15 Cab Chassis 2WD",22877,15,20,8,5.3,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30009","Chevrolet","Silverado C15 Cab Chassis 2WD",24595,15,20,8,5.3,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30010","GMC","Sierra K15 Cab Chassis 4WD",38770,15,19,8,5.3,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30011","GMC","Sierra K15 Cab Chassis 4WD",18235,15,19,8,5.3,"4-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30012","GMC","Sierra C15 Cab Chassis 2WD",29651,15,20,8,5.3,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30013","GMC","Sierra C15 Cab Chassis 2WD",55108,15,20,8,5.3,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30014","Volkswagen","Tiguan",43431,20,24,4,2,"Front-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"30015","Volkswagen","Tiguan",51320,20,24,4,2,"Front-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"30016","Buick","Envision AWD",19392,21,28,4,2.5,"All-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"30017","Buick","Envision AWD",18043,21,28,4,2.5,"All-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"30018","Buick","Envision AWD",39927,20,26,4,2,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"30019","Buick","Envision AWD",31169,20,26,4,2,"All-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"30020","Land Rover","Discovery Sport",33711,20,25,4,2,"4-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"30021","Land Rover","Discovery Sport",69837,20,25,4,2,"4-Wheel Drive",2200,"Premium Gasoline","Kinda Green",5
"30022","Land Rover","Range Rover Evoque",33003,21,29,4,2,"4-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"30023","Land Rover","Range Rover Evoque",69929,21,29,4,2,"4-Wheel Drive",2000,"Premium Gasoline","Kinda Green",5
"30024","Land Rover","Range Rover Evoque Convertible",34264,20,28,4,2,"4-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"30025","Land Rover","Range Rover Evoque Convertible",37116,20,28,4,2,"4-Wheel Drive",2100,"Premium Gasoline","Kinda Green",5
"30026","Cadillac","Escalade 2WD",43927,15,22,8,6.2,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30027","Cadillac","Escalade 2WD",61442,15,22,8,6.2,"Rear-Wheel Drive",2350,"Regular Gasoline","It's a monster!",3
"30028","Chevrolet","Tahoe C1500 2WD",44440,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"30029","Chevrolet","Tahoe C1500 2WD",45588,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"30030","Chevrolet","Suburban C1500 2WD",21506,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"30031","Chevrolet","Suburban C1500 2WD",66249,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"30032","Chevrolet","Tahoe C1500 2WD",33074,16,23,8,5.3,"Rear-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
